"Notes","Census Division","Census Division Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Division 1: New England","CENS-D1","Female","F","1999","1999",164,7143107,2.3,1.9,2.6,0.2,2.3,1.9,2.6,0.2
,"Division 1: New England","CENS-D1","Female","F","2000","2000",138,7184414,1.9,1.6,2.2,0.2,1.9,1.6,2.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2001","2001",236,7239348,3.3,2.8,3.7,0.2,3.3,2.8,3.7,0.2
,"Division 1: New England","CENS-D1","Female","F","2002","2002",270,7273891,3.7,3.3,4.2,0.2,3.7,3.3,4.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2003","2003",274,7301274,3.8,3.3,4.2,0.2,3.8,3.3,4.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2004","2004",276,7309874,3.8,3.3,4.2,0.2,3.8,3.3,4.2,0.2
,"Division 1: New England","CENS-D1","Female","F","2005","2005",337,7311368,4.6,4.1,5.1,0.3,4.6,4.1,5.1,0.3
,"Division 1: New England","CENS-D1","Female","F","2006","2006",365,7324214,5.0,4.5,5.5,0.3,4.9,4.4,5.4,0.3
,"Division 1: New England","CENS-D1","Female","F","2007","2007",415,7339451,5.7,5.1,6.2,0.3,5.6,5.0,6.1,0.3
,"Division 1: New England","CENS-D1","Female","F","2008","2008",371,7369602,5.0,4.5,5.5,0.3,4.9,4.4,5.4,0.3
,"Division 1: New England","CENS-D1","Female","F","2009","2009",371,7402099,5.0,4.5,5.5,0.3,4.8,4.3,5.3,0.3
,"Division 1: New England","CENS-D1","Female","F","2010","2010",366,7422567,4.9,4.4,5.4,0.3,4.9,4.4,5.4,0.3
,"Division 1: New England","CENS-D1","Female","F","2011","2011",432,7439990,5.8,5.3,6.4,0.3,5.7,5.2,6.3,0.3
,"Division 1: New England","CENS-D1","Female","F","2012","2012",411,7472846,5.5,5.0,6.0,0.3,5.5,5.0,6.1,0.3
,"Division 1: New England","CENS-D1","Female","F","2013","2013",575,7497291,7.7,7.0,8.3,0.3,7.6,7.0,8.3,0.3
,"Division 1: New England","CENS-D1","Female","F","2014","2014",718,7528397,9.5,8.8,10.2,0.4,9.7,9.0,10.5,0.4
,"Division 1: New England","CENS-D1","Female","F","2015","2015",850,7550331,11.3,10.5,12.0,0.4,11.4,10.6,12.2,0.4
,"Division 1: New England","CENS-D1","Female","F","2016","2016",1096,7549267,14.5,13.7,15.4,0.4,14.9,14.0,15.8,0.5
,"Division 1: New England","CENS-D1","Female","F","2017","2017",1038,7585060,13.7,12.9,14.5,0.4,14.1,13.2,14.9,0.4
,"Division 1: New England","CENS-D1","Female","F","2018","2018",1083,7608144,14.2,13.4,15.1,0.4,14.8,13.9,15.7,0.5
,"Division 1: New England","CENS-D1","Female","F","2019","2019",1075,7604182,14.1,13.3,15.0,0.4,14.6,13.7,15.5,0.5
,"Division 1: New England","CENS-D1","Female","F","2020","2020",1217,7604537,16.0,15.1,16.9,0.5,16.8,15.8,17.7,0.5
"Total","Division 1: New England","CENS-D1","Female","F",,,12078,163061254,7.4,7.3,7.5,0.1,7.4,7.3,7.6,0.1
,"Division 1: New England","CENS-D1","Male","M","1999","1999",430,6694546,6.4,5.8,7.0,0.3,6.2,5.6,6.8,0.3
,"Division 1: New England","CENS-D1","Male","M","2000","2000",490,6738103,7.3,6.6,7.9,0.3,7.0,6.4,7.7,0.3
,"Division 1: New England","CENS-D1","Male","M","2001","2001",630,6801695,9.3,8.5,10.0,0.4,9.0,8.3,9.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2002","2002",665,6848550,9.7,9.0,10.4,0.4,9.5,8.8,10.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2003","2003",803,6881180,11.7,10.9,12.5,0.4,11.4,10.6,12.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2004","2004",676,6896809,9.8,9.1,10.5,0.4,9.7,9.0,10.4,0.4
,"Division 1: New England","CENS-D1","Male","M","2005","2005",757,6905288,11.0,10.2,11.7,0.4,10.8,10.0,11.5,0.4
,"Division 1: New England","CENS-D1","Male","M","2006","2006",902,6921326,13.0,12.2,13.9,0.4,12.8,12.0,13.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2007","2007",864,6939754,12.5,11.6,13.3,0.4,12.3,11.5,13.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2008","2008",844,6970513,12.1,11.3,12.9,0.4,12.0,11.2,12.8,0.4
,"Division 1: New England","CENS-D1","Male","M","2009","2009",861,7001476,12.3,11.5,13.1,0.4,12.2,11.4,13.1,0.4
,"Division 1: New England","CENS-D1","Male","M","2010","2010",766,7022298,10.9,10.1,11.7,0.4,10.9,10.1,11.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2011","2011",868,7052370,12.3,11.5,13.1,0.4,12.3,11.5,13.2,0.4
,"Division 1: New England","CENS-D1","Male","M","2012","2012",909,7089858,12.8,12.0,13.7,0.4,12.9,12.0,13.7,0.4
,"Division 1: New England","CENS-D1","Male","M","2013","2013",1294,7121515,18.2,17.2,19.2,0.5,18.3,17.3,19.3,0.5
,"Division 1: New England","CENS-D1","Male","M","2014","2014",1684,7152325,23.5,22.4,24.7,0.6,24.0,22.8,25.2,0.6
,"Division 1: New England","CENS-D1","Male","M","2015","2015",2336,7177253,32.5,31.2,33.9,0.7,33.3,32.0,34.7,0.7
,"Division 1: New England","CENS-D1","Male","M","2016","2016",2867,7186258,39.9,38.4,41.4,0.7,41.1,39.5,42.6,0.8
,"Division 1: New England","CENS-D1","Male","M","2017","2017",3005,7224941,41.6,40.1,43.1,0.8,42.7,41.1,44.3,0.8
,"Division 1: New England","CENS-D1","Male","M","2018","2018",2944,7245146,40.6,39.2,42.1,0.7,41.9,40.4,43.5,0.8
,"Division 1: New England","CENS-D1","Male","M","2019","2019",3036,7240881,41.9,40.4,43.4,0.8,42.9,41.4,44.5,0.8
,"Division 1: New England","CENS-D1","Male","M","2020","2020",3347,7242931,46.2,44.6,47.8,0.8,47.2,45.5,48.8,0.8
"Total","Division 1: New England","CENS-D1","Male","M",,,30978,154355016,20.1,19.8,20.3,0.1,20.0,19.8,20.2,0.1
"Total","Division 1: New England","CENS-D1",,,,,43056,317416270,13.6,13.4,13.7,0.1,13.6,13.5,13.8,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","1999","1999",299,20428989,1.5,1.3,1.6,0.1,1.5,1.3,1.6,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2000","2000",257,20512637,1.3,1.1,1.4,0.1,1.3,1.1,1.4,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2001","2001",273,20603040,1.3,1.2,1.5,0.1,1.4,1.2,1.5,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2002","2002",349,20665560,1.7,1.5,1.9,0.1,1.7,1.5,1.9,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2003","2003",373,20717668,1.8,1.6,2.0,0.1,1.8,1.6,2.0,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2004","2004",339,20741240,1.6,1.5,1.8,0.1,1.6,1.5,1.8,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2005","2005",421,20736065,2.0,1.8,2.2,0.1,2.1,1.9,2.3,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2006","2006",493,20748812,2.4,2.2,2.6,0.1,2.4,2.2,2.6,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2007","2007",542,20788745,2.6,2.4,2.8,0.1,2.5,2.3,2.8,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2008","2008",638,20862037,3.1,2.8,3.3,0.1,3.0,2.8,3.2,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2009","2009",540,20957150,2.6,2.4,2.8,0.1,2.6,2.3,2.8,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2010","2010",657,21025265,3.1,2.9,3.4,0.1,3.1,2.9,3.3,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2011","2011",817,21082680,3.9,3.6,4.1,0.1,3.8,3.6,4.1,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2012","2012",891,21155308,4.2,3.9,4.5,0.1,4.2,3.9,4.5,0.1
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2013","2013",1017,21201769,4.8,4.5,5.1,0.2,4.8,4.5,5.1,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2014","2014",1110,21274581,5.2,4.9,5.5,0.2,5.2,4.9,5.5,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2015","2015",1243,21308304,5.8,5.5,6.2,0.2,5.9,5.5,6.2,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2016","2016",1843,21257682,8.7,8.3,9.1,0.2,8.9,8.4,9.3,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2017","2017",2047,21355215,9.6,9.2,10.0,0.2,9.8,9.4,10.2,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2018","2018",2356,21142505,11.1,10.7,11.6,0.2,11.4,10.9,11.8,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2019","2019",2358,21074946,11.2,10.7,11.6,0.2,11.4,11.0,11.9,0.2
,"Division 2: Middle Atlantic","CENS-D2","Female","F","2020","2020",2859,21001813,13.6,13.1,14.1,0.3,14.0,13.5,14.6,0.3
"Total","Division 2: Middle Atlantic","CENS-D2","Female","F",,,21722,460642011,4.7,4.7,4.8,0.0,4.7,4.7,4.8,0.0
,"Division 2: Middle Atlantic","CENS-D2","Male","M","1999","1999",965,19077133,5.1,4.7,5.4,0.2,5.0,4.6,5.3,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2000","2000",906,19159224,4.7,4.4,5.0,0.2,4.6,4.3,4.9,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2001","2001",987,19271439,5.1,4.8,5.4,0.2,5.0,4.7,5.3,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2002","2002",1037,19355914,5.4,5.0,5.7,0.2,5.3,5.0,5.6,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2003","2003",1118,19434331,5.8,5.4,6.1,0.2,5.7,5.3,6.0,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2004","2004",927,19475610,4.8,4.5,5.1,0.2,4.7,4.4,5.0,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2005","2005",1080,19498509,5.5,5.2,5.9,0.2,5.4,5.1,5.7,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2006","2006",1307,19528307,6.7,6.3,7.1,0.2,6.6,6.2,6.9,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2007","2007",1318,19585412,6.7,6.4,7.1,0.2,6.6,6.3,7.0,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2008","2008",1420,19673774,7.2,6.8,7.6,0.2,7.0,6.7,7.4,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2009","2009",1210,19772376,6.1,5.8,6.5,0.2,6.0,5.7,6.3,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2010","2010",1419,19847110,7.1,6.8,7.5,0.2,7.0,6.7,7.4,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2011","2011",1745,19946558,8.7,8.3,9.2,0.2,8.6,8.2,9.1,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2012","2012",2068,20043079,10.3,9.9,10.8,0.2,10.2,9.8,10.6,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2013","2013",2297,20122498,11.4,10.9,11.9,0.2,11.2,10.8,11.7,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2014","2014",2449,20197030,12.1,11.6,12.6,0.2,12.0,11.5,12.5,0.2
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2015","2015",3147,20248003,15.5,15.0,16.1,0.3,15.5,15.0,16.1,0.3
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2016","2016",4810,20216303,23.8,23.1,24.5,0.3,23.7,23.1,24.4,0.3
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2017","2017",5694,20305365,28.0,27.3,28.8,0.4,28.1,27.4,28.9,0.4
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2018","2018",6084,20115284,30.2,29.5,31.0,0.4,30.5,29.7,31.3,0.4
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2019","2019",6117,20062794,30.5,29.7,31.3,0.4,30.6,29.8,31.4,0.4
,"Division 2: Middle Atlantic","CENS-D2","Male","M","2020","2020",7819,20000588,39.1,38.2,40.0,0.4,39.3,38.4,40.2,0.5
"Total","Division 2: Middle Atlantic","CENS-D2","Male","M",,,55924,434936641,12.9,12.8,13.0,0.1,12.7,12.6,12.8,0.1
"Total","Division 2: Middle Atlantic","CENS-D2",,,,,77646,895578652,8.7,8.6,8.7,0.0,8.7,8.6,8.7,0.0
,"Division 3: East North Central","CENS-D3","Female","F","1999","1999",220,22981013,1.0,0.8,1.1,0.1,1.0,0.8,1.1,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2000","2000",289,23057829,1.3,1.1,1.4,0.1,1.3,1.1,1.4,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2001","2001",354,23167228,1.5,1.4,1.7,0.1,1.5,1.4,1.7,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2002","2002",450,23232492,1.9,1.8,2.1,0.1,2.0,1.8,2.1,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2003","2003",433,23301182,1.9,1.7,2.0,0.1,1.9,1.7,2.1,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2004","2004",537,23358179,2.3,2.1,2.5,0.1,2.3,2.1,2.5,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2005","2005",662,23403396,2.8,2.6,3.0,0.1,2.9,2.7,3.1,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2006","2006",770,23460189,3.3,3.1,3.5,0.1,3.3,3.1,3.5,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2007","2007",818,23518813,3.5,3.2,3.7,0.1,3.5,3.3,3.7,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2008","2008",961,23562261,4.1,3.8,4.3,0.1,4.1,3.8,4.4,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2009","2009",980,23604659,4.2,3.9,4.4,0.1,4.2,3.9,4.5,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2010","2010",1187,23636881,5.0,4.7,5.3,0.1,5.0,4.7,5.3,0.1
,"Division 3: East North Central","CENS-D3","Female","F","2011","2011",1269,23676516,5.4,5.1,5.7,0.2,5.5,5.1,5.8,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2012","2012",1330,23692724,5.6,5.3,5.9,0.2,5.7,5.4,6.0,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2013","2013",1481,23728326,6.2,5.9,6.6,0.2,6.4,6.0,6.7,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2014","2014",1836,23765967,7.7,7.4,8.1,0.2,8.0,7.6,8.3,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2015","2015",2162,23778373,9.1,8.7,9.5,0.2,9.5,9.1,9.9,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2016","2016",2843,23744754,12.0,11.5,12.4,0.2,12.4,11.9,12.9,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2017","2017",3433,23806081,14.4,13.9,14.9,0.2,15.1,14.6,15.7,0.3
,"Division 3: East North Central","CENS-D3","Female","F","2018","2018",3035,23825546,12.7,12.3,13.2,0.2,13.5,13.0,14.0,0.3
,"Division 3: East North Central","CENS-D3","Female","F","2019","2019",3023,23809214,12.7,12.2,13.1,0.2,13.3,12.9,13.8,0.2
,"Division 3: East North Central","CENS-D3","Female","F","2020","2020",3746,23773455,15.8,15.3,16.3,0.3,16.8,16.2,17.3,0.3
"Total","Division 3: East North Central","CENS-D3","Female","F",,,31819,517885078,6.1,6.1,6.2,0.0,6.3,6.2,6.3,0.0
,"Division 3: East North Central","CENS-D3","Male","M","1999","1999",677,21988212,3.1,2.8,3.3,0.1,3.1,2.8,3.3,0.1
,"Division 3: East North Central","CENS-D3","Male","M","2000","2000",852,22097208,3.9,3.6,4.1,0.1,3.8,3.6,4.1,0.1
,"Division 3: East North Central","CENS-D3","Male","M","2001","2001",906,22234336,4.1,3.8,4.3,0.1,4.0,3.8,4.3,0.1
,"Division 3: East North Central","CENS-D3","Male","M","2002","2002",1003,22317792,4.5,4.2,4.8,0.1,4.5,4.2,4.7,0.1
,"Division 3: East North Central","CENS-D3","Male","M","2003","2003",972,22406605,4.3,4.1,4.6,0.1,4.3,4.0,4.6,0.1
,"Division 3: East North Central","CENS-D3","Male","M","2004","2004",1220,22486193,5.4,5.1,5.7,0.2,5.4,5.1,5.7,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2005","2005",1404,22545746,6.2,5.9,6.6,0.2,6.1,5.8,6.5,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2006","2006",1838,22611384,8.1,7.8,8.5,0.2,8.1,7.7,8.5,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2007","2007",1696,22669179,7.5,7.1,7.8,0.2,7.5,7.1,7.8,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2008","2008",2022,22712859,8.9,8.5,9.3,0.2,9.0,8.6,9.3,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2009","2009",2022,22751195,8.9,8.5,9.3,0.2,8.9,8.5,9.3,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2010","2010",2203,22784683,9.7,9.3,10.1,0.2,9.7,9.3,10.1,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2011","2011",2453,22842568,10.7,10.3,11.2,0.2,10.8,10.4,11.3,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2012","2012",2719,22873848,11.9,11.4,12.3,0.2,12.1,11.6,12.5,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2013","2013",3089,22933854,13.5,13.0,13.9,0.2,13.6,13.1,14.1,0.2
,"Division 3: East North Central","CENS-D3","Male","M","2014","2014",3616,22973072,15.7,15.2,16.3,0.3,16.0,15.5,16.6,0.3
,"Division 3: East North Central","CENS-D3","Male","M","2015","2015",4383,23008638,19.0,18.5,19.6,0.3,19.5,18.9,20.1,0.3
,"Division 3: East North Central","CENS-D3","Male","M","2016","2016",6139,23011219,26.7,26.0,27.3,0.3,27.5,26.8,28.2,0.4
,"Division 3: East North Central","CENS-D3","Male","M","2017","2017",7197,23079163,31.2,30.5,31.9,0.4,32.1,31.4,32.9,0.4
,"Division 3: East North Central","CENS-D3","Male","M","2018","2018",6332,23106337,27.4,26.7,28.1,0.3,28.1,27.4,28.8,0.4
,"Division 3: East North Central","CENS-D3","Male","M","2019","2019",6619,23093217,28.7,28.0,29.4,0.4,29.5,28.7,30.2,0.4
,"Division 3: East North Central","CENS-D3","Male","M","2020","2020",8905,23061455,38.6,37.8,39.4,0.4,39.9,39.0,40.7,0.4
"Total","Division 3: East North Central","CENS-D3","Male","M",,,68267,499588763,13.7,13.6,13.8,0.1,13.7,13.6,13.8,0.1
"Total","Division 3: East North Central","CENS-D3",,,,,100086,1017473841,9.8,9.8,9.9,0.0,10.0,9.9,10.1,0.0
,"Division 4: West North Central","CENS-D4","Female","F","1999","1999",54,9734012,0.6,0.4,0.7,0.1,0.6,0.4,0.8,0.1
,"Division 4: West North Central","CENS-D4","Female","F","2000","2000",82,9779509,0.8,0.7,1.0,0.1,0.9,0.7,1.1,0.1
,"Division 4: West North Central","CENS-D4","Female","F","2001","2001",127,9840410,1.3,1.1,1.5,0.1,1.3,1.1,1.6,0.1
,"Division 4: West North Central","CENS-D4","Female","F","2002","2002",147,9881177,1.5,1.2,1.7,0.1,1.5,1.3,1.8,0.1
,"Division 4: West North Central","CENS-D4","Female","F","2003","2003",179,9926768,1.8,1.5,2.1,0.1,1.9,1.6,2.1,0.1
,"Division 4: West North Central","CENS-D4","Female","F","2004","2004",245,9979675,2.5,2.1,2.8,0.2,2.6,2.2,2.9,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2005","2005",273,10033425,2.7,2.4,3.0,0.2,2.8,2.5,3.2,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2006","2006",318,10103420,3.1,2.8,3.5,0.2,3.2,2.9,3.6,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2007","2007",330,10174594,3.2,2.9,3.6,0.2,3.3,3.0,3.7,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2008","2008",377,10240792,3.7,3.3,4.1,0.2,3.8,3.4,4.2,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2009","2009",431,10309348,4.2,3.8,4.6,0.2,4.3,3.9,4.7,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2010","2010",437,10362560,4.2,3.8,4.6,0.2,4.4,4.0,4.8,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2011","2011",476,10422501,4.6,4.2,5.0,0.2,4.8,4.3,5.2,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2012","2012",486,10470391,4.6,4.2,5.1,0.2,4.8,4.4,5.3,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2013","2013",544,10528900,5.2,4.7,5.6,0.2,5.4,4.9,5.9,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2014","2014",570,10584211,5.4,4.9,5.8,0.2,5.6,5.2,6.1,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2015","2015",574,10633827,5.4,5.0,5.8,0.2,5.7,5.2,6.1,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2016","2016",603,10662996,5.7,5.2,6.1,0.2,5.9,5.4,6.4,0.2
,"Division 4: West North Central","CENS-D4","Female","F","2017","2017",671,10713946,6.3,5.8,6.7,0.2,6.6,6.0,7.1,0.3
,"Division 4: West North Central","CENS-D4","Female","F","2018","2018",647,10755021,6.0,5.6,6.5,0.2,6.4,5.9,6.9,0.3
