"Notes","Census Division","Census Division Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"Division 7: West South Central","CENS-D7","Male","M","2017","2017",1517,19774865,7.7,7.3,8.1,0.2,7.7,7.3,8.1,0.2
,"Division 7: West South Central","CENS-D7","Male","M","2018","2018",1545,19968054,7.7,7.4,8.1,0.2,7.8,7.4,8.1,0.2
,"Division 7: West South Central","CENS-D7","Male","M","2019","2019",1702,20112026,8.5,8.1,8.9,0.2,8.5,8.1,8.9,0.2
,"Division 7: West South Central","CENS-D7","Male","M","2020","2020",2489,20303248,12.3,11.8,12.7,0.2,12.4,11.9,12.9,0.3
"Total","Division 7: West South Central","CENS-D7","Male","M",,,25309,392733416,6.4,6.4,6.5,0.0,6.5,6.4,6.5,0.0
"Total","Division 7: West South Central","CENS-D7",,,,,39989,793993592,5.0,5.0,5.1,0.0,5.1,5.1,5.2,0.0
,"Division 8: Mountain","CENS-D8","Female","F","1999","1999",248,8919766,2.8,2.4,3.1,0.2,2.8,2.5,3.2,0.2
,"Division 8: Mountain","CENS-D8","Female","F","2000","2000",273,9067342,3.0,2.7,3.4,0.2,3.1,2.7,3.4,0.2
,"Division 8: Mountain","CENS-D8","Female","F","2001","2001",343,9295853,3.7,3.3,4.1,0.2,3.8,3.4,4.2,0.2
,"Division 8: Mountain","CENS-D8","Female","F","2002","2002",406,9476538,4.3,3.9,4.7,0.2,4.4,4.0,4.8,0.2
,"Division 8: Mountain","CENS-D8","Female","F","2003","2003",503,9642717,5.2,4.8,5.7,0.2,5.3,4.9,5.8,0.2
,"Division 8: Mountain","CENS-D8","Female","F","2004","2004",489,9837882,5.0,4.5,5.4,0.2,5.1,4.6,5.5,0.2
,"Division 8: Mountain","CENS-D8","Female","F","2005","2005",619,10076645,6.1,5.7,6.6,0.2,6.3,5.8,6.7,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2006","2006",679,10339853,6.6,6.1,7.1,0.3,6.6,6.1,7.1,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2007","2007",751,10571919,7.1,6.6,7.6,0.3,7.2,6.7,7.7,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2008","2008",783,10768399,7.3,6.8,7.8,0.3,7.3,6.8,7.8,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2009","2009",847,10924549,7.8,7.2,8.3,0.3,7.9,7.3,8.4,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2010","2010",851,11030184,7.7,7.2,8.2,0.3,7.8,7.3,8.3,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2011","2011",901,11177553,8.1,7.5,8.6,0.3,8.2,7.6,8.7,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2012","2012",956,11298070,8.5,7.9,9.0,0.3,8.6,8.0,9.1,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2013","2013",953,11427496,8.3,7.8,8.9,0.3,8.4,7.9,9.0,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2014","2014",1029,11592027,8.9,8.3,9.4,0.3,8.9,8.3,9.4,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2015","2015",1075,11757195,9.1,8.6,9.7,0.3,9.3,8.8,9.9,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2016","2016",1044,11918551,8.8,8.2,9.3,0.3,8.8,8.2,9.3,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2017","2017",1107,12063050,9.2,8.6,9.7,0.3,9.1,8.5,9.6,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2018","2018",1071,12259732,8.7,8.2,9.3,0.3,8.7,8.2,9.2,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2019","2019",1153,12410453,9.3,8.8,9.8,0.3,9.4,8.8,9.9,0.3
,"Division 8: Mountain","CENS-D8","Female","F","2020","2020",1488,12591627,11.8,11.2,12.4,0.3,12.1,11.5,12.8,0.3
"Total","Division 8: Mountain","CENS-D8","Female","F",,,17569,238447401,7.4,7.3,7.5,0.1,7.5,7.4,7.6,0.1
,"Division 8: Mountain","CENS-D8","Male","M","1999","1999",672,8941318,7.5,6.9,8.1,0.3,7.6,7.0,8.1,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2000","2000",699,9104953,7.7,7.1,8.2,0.3,7.7,7.1,8.3,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2001","2001",681,9338695,7.3,6.7,7.8,0.3,7.3,6.8,7.9,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2002","2002",811,9516094,8.5,7.9,9.1,0.3,8.6,8.0,9.2,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2003","2003",870,9669403,9.0,8.4,9.6,0.3,9.1,8.5,9.7,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2004","2004",907,9872062,9.2,8.6,9.8,0.3,9.3,8.7,9.9,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2005","2005",1016,10098956,10.1,9.4,10.7,0.3,10.1,9.5,10.8,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2006","2006",1154,10364041,11.1,10.5,11.8,0.3,11.1,10.5,11.8,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2007","2007",1213,10593205,11.5,10.8,12.1,0.3,11.5,10.8,12.1,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2008","2008",1319,10785792,12.2,11.6,12.9,0.3,12.3,11.6,12.9,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2009","2009",1347,10933960,12.3,11.7,13.0,0.3,12.3,11.6,13.0,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2010","2010",1225,11035267,11.1,10.5,11.7,0.3,11.1,10.5,11.7,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2011","2011",1347,11195858,12.0,11.4,12.7,0.3,12.1,11.4,12.7,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2012","2012",1319,11319804,11.7,11.0,12.3,0.3,11.7,11.1,12.4,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2013","2013",1351,11453749,11.8,11.2,12.4,0.3,11.9,11.2,12.5,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2014","2014",1494,11605092,12.9,12.2,13.5,0.3,13.0,12.3,13.7,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2015","2015",1493,11773303,12.7,12.0,13.3,0.3,12.7,12.1,13.4,0.3
,"Division 8: Mountain","CENS-D8","Male","M","2016","2016",1695,11936516,14.2,13.5,14.9,0.3,14.4,13.7,15.1,0.4
,"Division 8: Mountain","CENS-D8","Male","M","2017","2017",1787,12095067,14.8,14.1,15.5,0.3,14.9,14.2,15.6,0.4
,"Division 8: Mountain","CENS-D8","Male","M","2018","2018",1970,12292653,16.0,15.3,16.7,0.4,16.0,15.3,16.7,0.4
,"Division 8: Mountain","CENS-D8","Male","M","2019","2019",2184,12444545,17.5,16.8,18.3,0.4,17.7,16.9,18.4,0.4
,"Division 8: Mountain","CENS-D8","Male","M","2020","2020",3221,12621768,25.5,24.6,26.4,0.4,25.8,24.9,26.7,0.5
"Total","Division 8: Mountain","CENS-D8","Male","M",,,29775,238992101,12.5,12.3,12.6,0.1,12.6,12.4,12.7,0.1
"Total","Division 8: Mountain","CENS-D8",,,,,47344,477439502,9.9,9.8,10.0,0.0,10.1,10.0,10.2,0.0
,"Division 9: Pacific","CENS-D9","Female","F","1999","1999",484,22350384,2.2,2.0,2.4,0.1,2.2,2.0,2.4,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2000","2000",411,22587112,1.8,1.6,2.0,0.1,1.8,1.7,2.0,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2001","2001",312,22958960,1.4,1.2,1.5,0.1,1.4,1.2,1.5,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2002","2002",725,23232155,3.1,2.9,3.3,0.1,3.1,2.9,3.3,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2003","2003",699,23500840,3.0,2.8,3.2,0.1,3.0,2.7,3.2,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2004","2004",812,23734278,3.4,3.2,3.7,0.1,3.4,3.2,3.7,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2005","2005",850,23930806,3.6,3.3,3.8,0.1,3.5,3.3,3.7,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2006","2006",965,24128755,4.0,3.7,4.3,0.1,3.9,3.7,4.2,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2007","2007",1003,24326396,4.1,3.9,4.4,0.1,4.0,3.8,4.2,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2008","2008",1088,24588394,4.4,4.2,4.7,0.1,4.3,4.0,4.5,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2009","2009",1201,24860281,4.8,4.6,5.1,0.1,4.7,4.4,4.9,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2010","2010",1141,25065692,4.6,4.3,4.8,0.1,4.4,4.1,4.6,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2011","2011",1151,25351711,4.5,4.3,4.8,0.1,4.4,4.1,4.7,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2012","2012",1078,25587528,4.2,4.0,4.5,0.1,4.0,3.8,4.3,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2013","2013",1124,25786720,4.4,4.1,4.6,0.1,4.2,3.9,4.4,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2014","2014",1176,26122228,4.5,4.2,4.8,0.1,4.3,4.0,4.5,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2015","2015",1173,26378548,4.4,4.2,4.7,0.1,4.2,3.9,4.4,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2016","2016",1101,26534415,4.1,3.9,4.4,0.1,3.9,3.7,4.1,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2017","2017",1136,26745611,4.2,4.0,4.5,0.1,4.0,3.8,4.2,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2018","2018",1101,26834721,4.1,3.9,4.3,0.1,3.9,3.7,4.1,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2019","2019",1304,26855248,4.9,4.6,5.1,0.1,4.6,4.4,4.9,0.1
,"Division 9: Pacific","CENS-D9","Female","F","2020","2020",1868,26821910,7.0,6.6,7.3,0.2,6.9,6.6,7.2,0.2
"Total","Division 9: Pacific","CENS-D9","Female","F",,,21903,548282693,4.0,3.9,4.0,0.0,3.9,3.9,4.0,0.0
,"Division 9: Pacific","CENS-D9","Male","M","1999","1999",1520,22220404,6.8,6.5,7.2,0.2,6.8,6.4,7.1,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2000","2000",1116,22438525,5.0,4.7,5.3,0.1,4.9,4.6,5.2,0.1
,"Division 9: Pacific","CENS-D9","Male","M","2001","2001",762,22833819,3.3,3.1,3.6,0.1,3.3,3.1,3.6,0.1
,"Division 9: Pacific","CENS-D9","Male","M","2002","2002",1429,23087411,6.2,5.9,6.5,0.2,6.2,5.9,6.5,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2003","2003",1433,23303378,6.1,5.8,6.5,0.2,6.1,5.8,6.4,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2004","2004",1468,23521261,6.2,5.9,6.6,0.2,6.2,5.9,6.5,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2005","2005",1477,23727319,6.2,5.9,6.5,0.2,6.1,5.8,6.4,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2006","2006",1649,23919116,6.9,6.6,7.2,0.2,6.7,6.4,7.1,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2007","2007",1756,24103894,7.3,6.9,7.6,0.2,7.1,6.7,7.4,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2008","2008",1886,24366590,7.7,7.4,8.1,0.2,7.5,7.2,7.9,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2009","2009",2009,24622586,8.2,7.8,8.5,0.2,7.9,7.6,8.3,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2010","2010",1884,24814410,7.6,7.2,7.9,0.2,7.3,7.0,7.7,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2011","2011",2019,25139626,8.0,7.7,8.4,0.2,7.7,7.4,8.1,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2012","2012",1840,25374029,7.3,6.9,7.6,0.2,7.0,6.7,7.3,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2013","2013",1903,25586458,7.4,7.1,7.8,0.2,7.1,6.8,7.5,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2014","2014",1996,25868334,7.7,7.4,8.1,0.2,7.4,7.1,7.7,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2015","2015",2016,26135633,7.7,7.4,8.1,0.2,7.4,7.0,7.7,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2016","2016",2103,26267518,8.0,7.7,8.3,0.2,7.7,7.3,8.0,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2017","2017",2304,26506894,8.7,8.3,9.0,0.2,8.3,7.9,8.6,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2018","2018",2512,26606557,9.4,9.1,9.8,0.2,9.1,8.7,9.4,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2019","2019",3228,26637022,12.1,11.7,12.5,0.2,11.7,11.3,12.1,0.2
,"Division 9: Pacific","CENS-D9","Male","M","2020","2020",5520,26619451,20.7,20.2,21.3,0.3,20.2,19.6,20.7,0.3
"Total","Division 9: Pacific","CENS-D9","Male","M",,,43830,543700235,8.1,8.0,8.1,0.0,7.9,7.8,8.0,0.0
"Total","Division 9: Pacific","CENS-D9",,,,,65733,1091982928,6.0,6.0,6.1,0.0,5.9,5.9,6.0,0.0
"Total",,,,,,,564522,6746356647,8.4,8.3,8.4,0.0,8.4,8.4,8.4,0.0
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"Title: Census-Division-Sex"
"MCD - ICD-10 Codes: T40.0 (Opium); T40.1 (Heroin); T40.2 (Other opioids); T40.3 (Methadone); T40.4 (Other synthetic narcotics);"
"T40.6 (Other and unspecified narcotics)"
"UCD - ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified); X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified); X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system); X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics); X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified); X62"
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified); X63"
"(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system); X64 (Intentional"
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances); X85 (Assault by drugs,"
"medicaments and biological substances); Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics,"
"undetermined intent); Y11 (Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic"
"drugs, not elsewhere classified, undetermined intent); Y12 (Poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified, undetermined intent); Y13 (Poisoning by and exposure to other drugs acting on the"
"autonomic nervous system, undetermined intent); Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances, undetermined intent)"
"Group By: Census Division; Sex; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Nov 7, 2025 10:52:50 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Nov 7, 2025 10:52:50 AM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"6. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"7. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"8. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Confidence-Intervals."
"9. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Standard-Errors."
"10. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"11. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"12. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."